T=1, Time=0.0049 min
T=2, Time=0.0005 min
T=3, Time=0.0005 min
T=4, Time=0.0003 min
T=5, Time=0.0004 min
T=6, Time=0.0003 min
T=7, Time=0.0009 min
T=8, Time=0.0009 min
T=9, Time=0.0005 min
T=10, Time=0.0004 min
T=11, Time=0.0005 min
T=12, Time=0.0004 min
T=13, Time=0.0006 min
T=14, Time=0.0006 min
T=15, Time=0.0007 min
T=16, Time=0.0007 min
T=17, Time=0.0009 min
T=18, Time=0.0010 min
T=19, Time=0.0008 min
T=20, Time=0.0009 min
T=21, Time=0.0012 min
T=22, Time=0.0011 min
T=23, Time=0.0010 min
T=24, Time=0.0010 min
T=25, Time=0.0011 min
T=26, Time=0.0010 min
T=27, Time=0.0009 min
T=28, Time=0.0009 min
T=29, Time=0.0009 min
T=30, Time=0.0011 min
T=31, Time=0.0013 min
T=32, Time=0.0012 min
